HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,N2,PDa,A,1,-2.021,0.352,0.715,N,b-D-GalpNA,,-1,-1,0
HETATM,2,C2,PDa,A,1,-0.612,0.365,0.285,C,b-D-GalpNA,,53.7,73,0
HETATM,3,C1,PDa,A,1,0.35,-0.269,1.319,C,b-D-GalpNA,,96.2,73,0
HETATM,4,O1,PDa,A,1,0.268,0.36,2.587,O,b-D-GalpNA,,-1,-1,0
HETATM,5,O5,PDa,A,1,1.691,-0.215,0.861,O,b-D-GalpNA,,-1,-1,0
HETATM,6,C5,PDa,A,1,1.912,-0.944,-0.352,C,b-D-GalpNA,,75.9,73,0
HETATM,7,C6,PDa,A,1,3.402,-0.93,-0.74,C,b-D-GalpNA,,174.6,73,0
HETATM,8,O6,PDa,A,1,4.287,-0.361,-0.117,O,b-D-GalpNA,,-1,-1,0
HETATM,9,O61,PDa,A,1,3.704,-1.701,-1.817,O,b-D-GalpNA,,-1,-1,0
HETATM,10,C4,PDa,A,1,1.023,-0.412,-1.489,C,b-D-GalpNA,,70.5,73,0
HETATM,11,O4,PDa,A,1,1.405,0.913,-1.87,O,b-D-GalpNA,,-1,-1,0
HETATM,12,C3,PDa,A,1,-0.447,-0.38,-1.047,C,b-D-GalpNA,,72.1,73,0
HETATM,13,O3,PDa,A,1,-1.216,0.254,-2.081,O,b-D-GalpNA,,-1,-1,0
HETATM,14,H2N,PDa,A,1,-2.504,-0.538,0.738,H,b-D-GalpNA,,-1,-1,0
HETATM,15,H2,PDa,A,1,-0.338,1.419,0.137,H,b-D-GalpNA,,3.98,77,0
HETATM,16,H1,PDa,A,1,0.078,-1.318,1.487,H,b-D-GalpNA,,4.71,77,0
HETATM,17,H1O,PDa,A,1,0.047,1.3,2.435,H,b-D-GalpNA,,-1,-1,0
HETATM,18,H5,PDa,A,1,1.666,-1.995,-0.146,H,b-D-GalpNA,,4.17,77,0
HETATM,19,H6O,PDa,A,1,2.962,-2.145,-2.26,H,b-D-GalpNA,,-1,-1,0
HETATM,20,H4,PDa,A,1,1.121,-1.026,-2.39,H,b-D-GalpNA,,4.31,77,0
HETATM,21,H4O,PDa,A,1,0.683,1.256,-2.437,H,b-D-GalpNA,,-1,-1,0
HETATM,22,H3,PDa,A,1,-0.824,-1.406,-0.95,H,b-D-GalpNA,,3.75,77,0
HETATM,23,H3O,PDa,A,1,-2.01,0.635,-1.655,H,b-D-GalpNA,,-1,-1,0
HETATM,24,C2,ACY,A,2,-3.865,1.089,2.11,C,Ac,2,23.3,-1,1
HETATM,25,C1,ACY,A,2,-2.465,1.31,1.605,C,Ac,2,175.3,-1,1
HETATM,26,O1,ACY,A,2,-1.772,2.255,1.965,O,Ac,2,-1,-1,1
HETATM,27,H2,ACY,A,2,-3.82,0.711,3.134,H,Ac,2,2.03,-1,1
HETATM,28,H21,ACY,A,2,-4.407,0.373,1.487,H,Ac,2,-1,-1,1
HETATM,29,H22,ACY,A,2,-4.406,2.039,2.089,H,Ac,2,-1,-1,1
