HETATM,Atom_num,Atom_name,Residual_name,Bound,Residual_num,x,y,z,Atom_type,Residual_accurate_name,Lineage,shift,trust,Ac_component
HETATM,1,R,GCS,A,1,-3.97,-2.949,0.317,X,b-D-GlcpN,,-1.0,-1,0
HETATM,2,O4,GCS,A,1,-2.592,-3.253,0.309,O,b-D-GlcpN,,-1.0,-1,0
HETATM,3,C4,GCS,A,1,-1.766,-2.114,0.036,C,b-D-GlcpN,,78.2,67,0
HETATM,4,C3,GCS,A,1,-1.514,-1.326,1.336,C,b-D-GlcpN,,71.2,67,0
HETATM,5,O3,GCS,A,1,-2.703,-0.626,1.755,O,b-D-GlcpN,,-1.0,-1,0
HETATM,6,C2,GCS,A,1,-0.39,-0.28,1.175,C,b-D-GlcpN,,56.7,67,0
HETATM,7,N2,GCS,A,1,-0.153,0.373,2.496,N,b-D-GlcpN,,-1.0,-1,0
HETATM,8,C1,GCS,A,1,0.865,-0.944,0.535,C,b-D-GlcpN,,98.6,67,0
HETATM,9,R1,GCS,A,1,1.964,0.106,0.197,X,b-D-GlcpN,,-1.0,-1,0
HETATM,10,O5,GCS,A,1,0.518,-1.597,-0.685,O,b-D-GlcpN,,-1.0,-1,0
HETATM,11,C5,GCS,A,1,-0.429,-2.653,-0.5,C,b-D-GlcpN,,75.1,67,0
HETATM,12,C6,GCS,A,1,-0.6,-3.376,-1.847,C,b-D-GlcpN,,60.0,67,0
HETATM,13,O6,GCS,A,1,-1.334,-2.566,-2.757,O,b-D-GlcpN,,-1.0,-1,0
HETATM,14,H4,GCS,A,1,-2.238,-1.449,-0.702,H,b-D-GlcpN,,3.64,81,0
HETATM,15,H3,GCS,A,1,-1.267,-2.027,2.145,H,b-D-GlcpN,,3.8,81,0
HETATM,16,H3O,GCS,A,1,-3.462,-1.237,1.654,H,b-D-GlcpN,,-1.0,-1,0
HETATM,17,H2,GCS,A,1,-0.763,0.504,0.501,H,b-D-GlcpN,,3.05,81,0
HETATM,18,H2N,GCS,A,1,0.478,1.165,2.346,H,b-D-GlcpN,,-1.0,-1,0
HETATM,19,H2N1,GCS,A,1,-1.048,0.772,2.798,H,b-D-GlcpN,,-1.0,-1,0
HETATM,20,H1,GCS,A,1,1.29,-1.686,1.224,H,b-D-GlcpN,,4.77,81,0
HETATM,21,H5,GCS,A,1,-0.001,-3.382,0.2,H,b-D-GlcpN,,3.83,81,0
HETATM,22,H6,GCS,A,1,0.379,-3.584,-2.292,H,b-D-GlcpN,,3.67-3.84,81,0
HETATM,23,H61,GCS,A,1,-1.141,-4.319,-1.72,H,b-D-GlcpN,,-1.0,-1,0
HETATM,24,H6O,GCS,A,1,-1.249,-2.966,-3.64,H,b-D-GlcpN,,-1.0,-1,0
